"solution","generations"
1,2594
2,2594
3,2594
4,2594
5,2635
6,2635
7,2635
8,2635
9,3270
10,3270
11,4331
12,4331
13,4331
14,4331
15,5478
16,5478
17,12283
18,12283
19,12283
20,12283
21,12675
22,12675
23,12675
24,12675
25,13225
26,13225
27,13225
28,13225
29,14690
30,14690
31,14690
32,14690
33,16295
34,16295
35,16295
36,16295
37,16437
38,16437
39,16437
40,16437
41,25831
42,25831
43,25831
44,25831
45,32996
46,32996
47,32996
48,32996
49,35920
50,35920
51,35920
52,35920
53,40711
54,40711
55,40711
56,40711
57,60640
58,60640
59,60640
60,60640
61,69147
62,69147
63,69147
64,69147
65,76175
66,76175
67,76175
68,76175
69,89742
70,89742
71,89742
72,89742
73,95106
74,95106
75,95106
76,95106
77,105191
78,105191
79,105191
80,105191
81,161300
82,161300
83,161300
84,161300
85,163343
86,163343
87,163343
88,163343
89,164661
90,164661
91,164661
92,164661
