Solutions,Run 1,Run 2,Run 3,Average
1,1793,44,499,778.6666667
2,1793,44,499,778.6666667
3,1793,44,499,778.6666667
4,1793,44,499,778.6666667
5,1957,572,508,1012.333333
6,1957,572,508,1012.333333
7,1957,572,508,1012.333333
8,1957,572,508,1012.333333
9,2965,918,541,1474.666667
10,2965,918,541,1474.666667
11,2965,918,812,1565
12,2965,918,812,1565
13,3516,1137,812,1821.666667
14,3516,1137,812,1821.666667
15,3516,1137,1563,2072
16,3516,1137,1563,2072
17,4375,1477,1563,2471.666667
18,4375,1477,1563,2471.666667
19,4375,1477,2645,2832.333333
20,4375,1477,2645,2832.333333
21,4553,1918,2645,3038.666667
22,4553,1918,2645,3038.666667
23,4553,1918,2721,3064
24,4553,1918,2721,3064
25,6159,2101,2721,3660.333333
26,6159,2101,2721,3660.333333
27,6159,2101,4522,4260.666667
28,6159,2101,4522,4260.666667
29,6999,3213,4522,4911.333333
30,6999,3213,4522,4911.333333
31,6999,3213,5341,5184.333333
32,6999,3213,5341,5184.333333
33,7800,3851,5341,5664
34,7800,3851,5341,5664
35,7800,3851,6307,5986
36,7800,3851,6307,5986
37,8029,4907,6307,6414.333333
38,8029,4907,6307,6414.333333
39,8029,4907,7738,6891.333333
40,8029,4907,7738,6891.333333
41,8744,5289,7738,7257
42,8744,5289,7738,7257
43,8744,5289,8269,7434
44,8744,5289,8269,7434
45,9092,5636,8269,7665.666667
46,9092,5636,8269,7665.666667
47,9092,5636,9738,8155.333333
48,9092,5636,9738,8155.333333
49,9286,5834,9738,8286
50,9286,5834,9738,8286
51,9286,5834,10282,8467.333333
52,9286,5834,10282,8467.333333
53,9563,6446,10282,8763.666667
54,9563,6446,10282,8763.666667
55,9563,6446,11172,9060.333333
56,9563,6446,11172,9060.333333
57,14889,7651,11172,11237.33333
58,14889,7651,11172,11237.33333
59,15115,7651,11682,11482.66667
60,15115,7651,11682,11482.66667
61,15115,7943,11682,11580
62,15115,7943,11682,11580
63,15127,7943,14403,12491
64,15127,7943,14403,12491
65,15127,8647,14403,12725.66667
66,15127,8647,14403,12725.66667
67,15622,8647,17145,13804.66667
68,15622,8647,17145,13804.66667
69,15622,10698,17145,14488.33333
70,15622,10698,17145,14488.33333
71,15705,10698,19087,15163.33333
72,15705,10698,19087,15163.33333
73,15705,12504,23833,17347.33333
74,15705,12504,23833,17347.33333
75,16090,15370,23833,18431
76,16090,15370,23833,18431
77,16090,15370,24577,18679
78,16090,15370,24577,18679
79,17846,15940,24577,19454.33333
80,17846,15940,24577,19454.33333
81,18341,15940,26348,20209.66667
82,18341,15940,26348,20209.66667
83,18341,24776,26348,23155
84,18341,24776,26348,23155
85,27022,24776,34657,28818.33333
86,27022,24776,34657,28818.33333
87,27022,43353,34657,35010.66667
88,27022,43353,34657,35010.66667
89,28700,43353,39091,37048
90,28700,43353,39091,37048
91,28700,43675,39091,37155.33333
92,28700,43675,39091,37155.33333
