"solution","generations"
1,44
2,44
3,44
4,44
5,572
6,572
7,572
8,572
9,918
10,918
11,918
12,918
13,1137
14,1137
15,1137
16,1137
17,1477
18,1477
19,1477
20,1477
21,1918
22,1918
23,1918
24,1918
25,2101
26,2101
27,2101
28,2101
29,3213
30,3213
31,3213
32,3213
33,3851
34,3851
35,3851
36,3851
37,4907
38,4907
39,4907
40,4907
41,5289
42,5289
43,5289
44,5289
45,5636
46,5636
47,5636
48,5636
49,5834
50,5834
51,5834
52,5834
53,6446
54,6446
55,6446
56,6446
57,7651
58,7651
59,7651
60,7651
61,7943
62,7943
63,7943
64,7943
65,8647
66,8647
67,8647
68,8647
69,10698
70,10698
71,10698
72,10698
73,12504
74,12504
75,15370
76,15370
77,15370
78,15370
79,15940
80,15940
81,15940
82,15940
83,24776
84,24776
85,24776
86,24776
87,43353
88,43353
89,43353
90,43353
91,43675
92,43675
