"solution","generations"
1,201
2,810
3,2090
4,2436
5,3862
6,3938
7,4208
8,4978
9,6898
10,8839
11,9508
12,11355
13,12372
14,15316
15,15661
16,15721
17,16944
18,17300
19,17531
20,17860
21,18309
22,18969
23,20260
24,20462
25,21784
26,22356
27,22712
28,24092
29,25113
30,26699
31,26774
32,27016
33,27159
34,27837
35,28562
36,28777
37,29394
38,32367
39,35713
40,42273
41,42665
42,44602
43,45348
44,46310
45,49017
46,49834
47,50810
48,50909
49,57413
50,59150
51,60026
52,60686
53,61492
54,64717
55,71606
56,71714
57,72657
58,75014
59,76904
60,79756
61,81510
62,82111
63,83729
64,89586
65,91132
66,96162
67,97330
68,98257
69,101798
70,103392
71,109202
72,110171
73,119537
74,125343
75,132876
76,135860
77,135910
78,136978
79,139683
80,144668
81,144687
82,151397
83,156549
84,164204
85,177051
86,183308
87,188103
88,196311
89,215568
90,255337
91,290690
92,441420
1,508
2,1563
3,3034
4,4163
5,5205
6,5236
7,6226
8,6601
9,9113
10,10609
11,11939
12,12836
13,13282
14,13551
15,16570
16,16665
17,17296
18,17486
19,18768
20,19274
21,19361
22,19948
23,20678
24,21247
25,22020
26,22216
27,22482
28,23505
29,24483
30,26101
31,27281
32,27739
33,29747
34,31376
35,31909
36,32019
37,32526
38,32554
39,32986
40,35085
41,35417
42,35578
43,36850
44,37578
45,37986
46,40465
47,42595
48,43962
49,44540
50,44552
51,45253
52,47878
53,48529
54,48852
55,51112
56,51244
57,51946
58,52501
59,52921
60,53038
61,55239
62,55653
63,60749
64,67154
65,67324
66,69970
67,70375
68,73261
69,73512
70,81002
71,83860
72,86921
73,89364
74,96493
75,98921
76,107722
77,108096
78,115666
79,115802
80,121241
81,145310
82,148040
83,148951
84,149501
85,149679
86,154946
87,165251
88,198246
89,199662
90,227212
91,259199
92,334501
1,542
2,702
3,982
4,1119
5,1853
6,3212
7,3682
8,3959
9,4035
10,4100
11,5315
12,5644
13,6328
14,7754
15,7871
16,8460
17,8688
18,9130
19,9197
20,9360
21,9563
22,10456
23,10698
24,10824
25,10843
26,11053
27,12181
28,12313
29,12319
30,12554
31,12616
32,16026
33,18555
34,19408
35,20542
36,24089
37,24546
38,25386
39,26476
40,27182
41,27409
42,29246
43,31158
44,31351
45,33102
46,33152
47,33659
48,34510
49,34919
50,35535
51,35617
52,37399
53,38038
54,38099
55,38726
56,39371
57,40645
58,41040
59,42896
60,43699
61,45401
62,47098
63,48253
64,56252
65,56717
66,57239
67,57667
68,57753
69,60576
70,60959
71,61843
72,63316
73,67766
74,68172
75,78888
76,83159
77,83743
78,84021
79,88318
80,93410
81,106846
82,117233
83,126902
84,137162
85,150298
86,154711
87,173871
88,178558
89,184328
90,190777
91,205244
92,395217

